epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
46,983.194,0.18523,0.28656,0.87138,0.99516,1,0.995,0.98304,0.18654,0.36501,0.98326,0.000515,0.000515,0.000515
47,1004.66,0.19635,0.3088,0.92632,0.99523,1,0.995,0.995,0.19876,0.36245,0.97797,0.000482,0.000482,0.000482
48,1026.04,0.17348,0.2793,0.90928,0.99533,1,0.995,0.995,0.20035,0.34356,0.97289,0.000449,0.000449,0.000449
49,1047.44,0.18577,0.30041,0.91344,0.99514,1,0.995,0.98504,0.19665,0.32749,0.96852,0.000416,0.000416,0.000416
50,1068.9,0.16345,0.26117,0.88594,0.99516,1,0.995,0.995,0.15676,0.30678,0.94177,0.000383,0.000383,0.000383
51,1089.92,0.2586,1.26797,0.96202,0.99527,1,0.995,0.995,0.15073,0.30931,0.93567,0.00035,0.00035,0.00035
52,1111.25,0.20017,0.70457,0.91467,0.99531,1,0.995,0.995,0.1794,0.33512,0.95437,0.000317,0.000317,0.000317
53,1132.6,0.17559,0.49031,0.92789,0.99527,1,0.995,0.995,0.18294,0.37077,0.96106,0.000284,0.000284,0.000284
54,1153.58,0.17037,0.42988,0.87427,0.99513,1,0.995,0.995,0.14886,0.41648,0.93773,0.000251,0.000251,0.000251
55,1174.85,0.1464,0.40888,0.85077,0.99513,1,0.995,0.995,0.14253,0.4042,0.93024,0.000218,0.000218,0.000218
56,1195.96,0.15708,0.4006,0.84969,0.99519,1,0.995,0.995,0.1755,0.30698,0.93561,0.000185,0.000185,0.000185
57,1217.16,0.15963,0.37413,0.89543,0.99526,1,0.995,0.995,0.1515,0.29753,0.92943,0.000152,0.000152,0.000152
58,1238.6,0.15504,0.35331,0.8969,0.99524,1,0.995,0.995,0.12156,0.26754,0.92159,0.000119,0.000119,0.000119
59,1260.08,0.13162,0.34026,0.84912,0.9953,1,0.995,0.995,0.12299,0.27706,0.92212,8.6e-05,8.6e-05,8.6e-05
60,1281.4,0.14768,0.34863,0.891,0.99525,1,0.995,0.995,0.12657,0.29306,0.92259,5.3e-05,5.3e-05,5.3e-05
